Datum,Opis,Isplata,Uplata,Primalac/Platilac,Kategorija
03.01.2026,"Bezgotovinskiprenos
uRSD",3262.08,0.0,NISA.D.NOVISAD,⛽ Gorivo
03.01.2026,Kupovina,3298.56,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
03.01.2026,Kupovina,4014.0,0.0,"LEGENDXLI
CACAK688",❓ Ostalo
03.01.2026,Kupovina,1528.7,0.0,"WoltdooBelgrade
688",🍔 Restorani i dostava
03.01.2026,Kupovina,4211.96,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
03.01.2026,Kupovinanarate,7195.0,0.0,"AKSACACAK3/6
CACAK688",❓ Ostalo
05.01.2026,"Neto(OPJ1-1101):
DEC2025",0.0,3650.0,"FinTechSolutions
CEEDOO",❓ Ostalo
05.01.2026,"Netozarada:DEC
2025/2",0.0,402063.3,"FinTechSolutions
CEEDOO",👗 Odeća i obuća
05.01.2026,"Isplatasaračuna-
plaćanjeračuna",5920.16,0.0,A1,📱 Računi i usluge
05.01.2026,Kupovina,6138.98,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
05.01.2026,"Bezgotovinskiprenos
uRSD",9100.0,0.0,"POREZNA
IMOV.OBV.KOJINE
VODIP.K.",❓ Ostalo
06.01.2026,Kupovina,499.0,0.0,"RS05StopShop
CacaCACAK688",❓ Ostalo
06.01.2026,Kupovina,674.93,0.0,"MAXI3429ČAČAK
688",🛒 Marketi
06.01.2026,Kupovina,5494.85,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
06.01.2026,Kupovina,3147.98,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
08.01.2026,Kupovina,2500.0,0.0,"FIZIOKINETIKPR
CACAK688",🩺 Zdravstveni pregledi i analize
08.01.2026,Kupovina,1999.0,0.0,"RS05StopShop
CacaCACAK688",❓ Ostalo
08.01.2026,Kupovina,3197.0,0.0,"RS05StopShop
CacaCACAK688",❓ Ostalo
08.01.2026,Kupovina,1530.0,0.0,"Cacak4BIGRP
&#268;a&#269;688",❓ Ostalo
08.01.2026,Kupovina,3620.0,0.0,"Cacak3,RPCacak
688",❓ Ostalo
08.01.2026,Kupovina,593.11,0.0,"PAYSPOT
DOO*PAYSPOTV
CACAK688",❓ Ostalo
08.01.2026,Kupovina,239.31,0.0,"APPLE.COM/BILL
08000000888372",💻 Tech i pretplate
08.01.2026,"Isplatagotovinena
ATM-u",4000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
08.01.2026,Kupovina,1502.82,0.0,"OGRANAK
APOTEKA
VIDAKOVICACAK
688",🏥 Apoteke
08.01.2026,"Bezgotovinskiprenos
uRSD",6418.0,0.0,"GENERALI
OSIGURANJE
SRBIJAA.D.O.",📱 Računi i usluge
09.01.2026,"Bezgotovinskiprenos
uRSD",1811.74,0.0,"""VODOVOD""JKP
CACAK",📱 Računi i usluge
09.01.2026,"Bezgotovinskiprenos
uRSD",7000.0,0.0,"GRANDTOURS
DOONOVISAD",❓ Ostalo
09.01.2026,Kupovina,700.0,0.0,"KOZMETICKI
SALONBELLA
Cacak688",❓ Ostalo
09.01.2026,Kupovina,3350.0,0.0,"PSCacakCacak
688",❓ Ostalo
09.01.2026,Kupovina,3666.98,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
09.01.2026,Kupovina,3079.99,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
09.01.2026,Kupovina,1696.6,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
10.01.2026,"Bezgotovinskiprenos
uRSD",5000.87,0.0,NISA.D.NOVISAD,⛽ Gorivo
12.01.2026,Kupovina,600.0,0.0,"APOTEKADR.
MAX252Cacak
688",🏥 Apoteke
12.01.2026,Kupovina,2400.0,0.0,"STRSPORT
TRADECACAK688",⛷️ Sport i rekreacija
12.01.2026,Kupovina,3196.19,0.0,"ALIEXPRESS.COM
Luxembourg442",❓ Ostalo
12.01.2026,"Isplatagotovinena
ATM-u",4000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
12.01.2026,Kupovina,4371.95,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
12.01.2026,Kupovina,7341.56,0.0,"LIDL204CACAK
ČAČAK688",🛒 Marketi
12.01.2026,"Bezgotovinskiprenos
uRSD",3918.0,0.0,"PRIH.OD
USL.BOR.DECE
PRED.UST.GRAD",📱 Računi i usluge
12.01.2026,"Bezgotovinskiprenos
uRSD",1265.22,0.0,"JKPKOMUNALAC
ČAČAK",📱 Računi i usluge
13.01.2026,Kupovina,1627.7,0.0,"WoltdooBelgrade
688",🍔 Restorani i dostava
13.01.2026,Kupovina,839.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
13.01.2026,Kupovina,4198.0,0.0,"RS05StopShop
CacaCACAK688",❓ Ostalo
13.01.2026,Kupovina,1680.91,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
13.01.2026,Kupovina,359.56,0.0,"APPLE.COM/BILL
08000000888372",💻 Tech i pretplate
13.01.2026,Kupovina,2819.75,0.0,"214-TEMPO005
CACAK688",🛒 Marketi
